V1,V2,V3
0.365715183174063,-0.33146652029926277,0.509322985798065
0.3528612592026368,-0.4129597854967032,0.08381990531579084
0.3416114137671991,-0.3172449187795171,-0.21542391484039378
0.32976447982962726,-0.17288771259631314,-0.34899685250966256
0.31346880919653797,-0.035980971139075155,-0.20033417701267692
0.2949867793997152,0.0783424126096764,-0.14442062789881624
0.27457437013685604,0.19103607885990104,-0.011472886133700119
0.25398085077830534,0.29215213046855776,-0.0018926233942351718
0.23252664741724727,0.34493165158179245,-0.1263694622490429
0.20961908009455385,0.33992073943954015,-0.10348447503300742
0.1843915316495774,0.31645690390332715,-0.00617414226929576
0.1579682637383533,0.2547092750895541,0.12089474885366805
0.13154313640856455,0.2002655746655886,0.2606369837904725
0.10639897366985285,0.1361753497941874,0.4563192267306709
0.07438929084987976,0.039800510893815005,0.4321353169825454
